study_id,first_author,year,country,journal,volume,issue,pages,doi,n_total,n_analyzed,age_mean,age_sd,age_range,pct_female,education_level,sampling_method,design,modality,modality_subtype,duration,subject_domain,platform_name,personality_instrument,personality_item_count,alpha_O,alpha_C,alpha_E,alpha_A,alpha_N,facet_level_reported,outcome_type,outcome_instrument,outcome_reliability,r_O_outcome,r_C_outcome,r_E_outcome,r_A_outcome,r_N_outcome,n_for_correlations,p_value_O,p_value_C,p_value_E,p_value_A,p_value_N,beta_O,beta_C,beta_E,beta_A,beta_N,effect_size_type,era,risk_of_bias_score,author_email_sent,notes,inclusion_status,primary_achievement,region,author_correction
A-22,Quigley,2022,UK,Personality and Individual Differences,194,,111645,10.1016/j.paid.2022.111645,301,301,19.79,3.21,,76.08,Undergraduate,convenience,cross-sectional,fully_online,mixed,COVID,Psychology,,BFI-44,44,0.71,0.82,0.88,0.76,0.85,N,engagement_performance,,,0.0,0.26,0.14,0.15,-0.02,301,,<.001,<.05,<.01,,,,,,r,r,COVID,6,Has PDF - all Big Five reported,"Performance subscale of OSES (2 items self-report, weak proxy); primary is engagement",include_with_caveat,partial,Europe,
A-23,Rodrigues,2024,Germany,"European Journal of Investigation in Health, Psychology and Education",14,2,368-384,10.3390/ejihpe14020025,287,260,22.68,3.47,,76.7,Undergraduate,convenience,cross-sectional,fully_online,,COVID,,,BFI-S,15,,,,,,N,GPA,,,0.0,0.228,-0.025,0.0,-0.142,260,,<.01,ns,,<.05,,,,,r,r,COVID,7,Has PDF,German GPA sign-reversed so that positive r = better; pre-registered on OSF; best quality COVID GPA study,include,yes,Europe,
A-24,Tlili,2023,Tunisia,Frontiers in Psychology,14,,1071985,10.3389/fpsyg.2023.1071985,92,65,,,,34,Undergraduate,single_course,cross-sectional,fully_online,,,,Moodle,BFI-44,44,,,,,,N,navigational_behavior,,,,,,,,,,,,,,,,,,r,lag_sequential,COVID,4,Has PDF - behavioral outcome,LSA process data only; no r or β extractable; N=65; Agreeableness dropped,exclude,no,Other,
A-25,Tokiwa,2025,Japan,In preparation,16,,1420996,10.3389/fpsyg.2025.1420996,103,103,,,,,K-12,convenience,cross-sectional,fully_online,asynchronous,9 months,All_5_subjects,StudySapuri,BFI-2-J,60,0.80,0.94,0.94,0.91,0.96,Y,test_completion,,,,,,,,,,,,,,,,,,r,r,post-COVID,6,Author's own paper - correlations in Table 3,COI: author's own prior study; sensitivity analysis will exclude,include_COI,yes,Asia,
A-26,Wang,2023,China,Frontiers in Psychology,14,,1241477,10.3389/fpsyg.2023.1241477,1625,1625,,,,54.8,K-12,stratified,cross-sectional,fully_online,,COVID,,,Chinese Big Five,,,,,,,N,achievement_self_report,,,,,,,,,,,,,,,,,,r,path_mediated,post-COVID,6,Has PDF - SEM with C/O/emotional stability as mediators,K-12 online; per-trait direct r with achievement not reported (only β to engagement); achievement self-report,include_with_caveat,partial,Asia,
A-27,Wu_Yu,2024,China,Education and Information Technologies,29,,10821-10850,10.1007/s10639-023-12222-5,1004,1004,,,,,Undergraduate,,Cross-sectional,e_learning,,,,,Big Five,,,,,,,N,engagement,,,,,,,,,,,,,,,,,,r,post-COVID,,,Has PDF,PDF not in corpus; cited in A-13 Dang 2025; expected N=1004 engagement,PDF_unavailable,unknown,,corrected from Wu to Wu_Yu
A-28,Yu,2021,China,International Journal of Educational Technology in Higher Education,18,,14,10.1186/s41239-021-00252-3,1152,1152,,,,51.6,Mixed_UG_Grad,random,cross-sectional,fully_online,,COVID,,BLCU_MOOC,Big Five Scale (McCrae),40,0.81,0.8,0.75,0.76,0.78,N,MOOC_composite,,,,,,,,1152,<.01,=.007,<.01,<.01,=.09,0.305,0.057,-0.076,0.442,0.037,beta,COVID,7,Has PDF,MOOC composite score objective; β only (Peterson-Brown conversion needed); Linguistics majors,include,yes,Asia,
A-29,Bahcekapili,2020,Turkey,Knowledge Management & E-Learning,12,2,191-208,10.34105/j.kmel.2020.12.010,525,525,30.9,,19-59,38.1,Undergraduate,convenience,cross-sectional,fully_online,synchronous,,,,BFI-44 Turkish,44,,,,,,,GPA,,,0.07,0.068,0.027,-0.013,-0.072,525,ns,ns,ns,ns,ns,,,,,,r,pre-COVID,6,,Largest pre-COVID N; all 5 direct r with GPA ns; indirect via SE + ELoC,include,yes,Europe,
A-30,Kaspar,2023,Germany,Current Psychology,,,,10.1007/s12144-023-04403-9,439,413,25.47,7.18,,85.7,Mixed_UG_Grad,snowball,cross-sectional,fully_online,,,,,BFI-S German,21,0.71,0.7,0.84,0.65,0.81,,performance_self_rated,,,,,,,,413,,=.016,,,=.003,0.08,0.15,0.05,-0.01,0.2,beta,COVID,5,,Self-rated performance composite; β only; N suppressor effect (bivariate negative→MR positive),include_with_caveat,yes,Europe,
A-31,Rivers,2021,Japan,Education and Information Technologies,26,4,4353-4378,10.1007/s10639-021-10478-3,149,149,19.4,0.76,,20.2,Undergraduate,single_course,cross-sectional,fully_online,asynchronous,,,Moodle,TIPI-J,10,,,,,,,course_grade,,,-0.066,0.144,-0.173,0.118,0.107,149,,,,,,,,,,,r,COVID,6,,Japanese async Moodle; TIPI-J; objective grade + LMS log; E direct β=-.168**,include,yes,Asia,
A-37,Zheng,2023,US,International Journal of Educational Technology in Higher Education,20,1,21,10.1186/s41239-023-00388-4,282,282,,,,41,Graduate,single_institution,cross-sectional_pooled_3wave,fully_online,mixed,,,,TIPI,10,,,,,,,course_grade,,,0.0,0.0,0.0,0.0,0.0,282,ns,ns,ns,ns,ns,,,,,,r_bounded,Mixed_3era,4,,3-era pre/during/post COVID; TIPI; |r|<.10 all; cluster-based analysis primary; era × cluster interaction p=.001,include_with_caveat,yes,North_America,
